id,name,city,country,iata,icao,latitude,longitude,altitude,timezone,tz_timezone
8885,Amsterdam Zuid WTC,Amsterdam,Netherlands,,N,52.338841,4.871471,10,1,E
8886,Budapest Keteli,Budapest,Hungary,,N,47.500497,19.085484,100,1,E
8887,Zagreb Glavni Kolod.,Zagreb,Croatia,,N,45.804289,15.979121,500,1,E
8888,Dillant Hopkins Airport,Keene,United States,EEN,KEEN,42.898399353027,-72.270797729492,148,-04:00,EDT
8889,Tianshui Maijishan Airport,Tianshui,China,THQ,ZLTS,34.5593986511,105.86000061,1094,+08:00,CST
8890,Kawama Airport,Kawama,Cuba,,MUKW,23.123642,-81.301805,16,-5,U
8891,Yumuri Valley,Yumuri Valley,Cuba,,N,23.1,-81.9,0,-5,U
8892,Kooddoo Airport,Kooddoo Atoll,Maldives,GKK,VRMO,0.7324,73.4336,8,+05:00,+05
8893,Glasgow Industrial,Glasgow,United States,,07MT,48.4211069,-106.5277039,2762,-7,A
8894,Rochester Airport,Rochester,United Kingdom,RCS,EGTO,51.351898193359,0.50333297252655,132,+01:00,BST
8895,Den Haag Centraal,Den Haag,Netherlands,,N,52.081667,4.329167,0,1,E
8896,Paris Nord,Paris,France,,N,48.880931,2.355323,0,1,E
8897,Venlo railway station,Venlo,Netherlands,,N,51.364722,6.171389,0,1,E
8898,Monchengladbach Central Station,Monchengladbach,Germany,,N,51.196,6.446,0,1,E
8899,Utrecht Centraal,Utrecht ,Netherlands,,N,52.089167,5.109722,0,1,E
8900,Rensselaer Rail Station,Albany,United States,,N,42.641389,-73.741111,324,-5,A
8901,Amtrak Station,Tacoma,United States,,N,47.242733,-122.42041,50,-8,A
8902,Amtrak Station,Orlando,United States,,N,28.5259,-81.3813,82,-5,A
8903,Denali Rail,Healy,United States,,N,63.7306,-148.913733333333,1730,-9,A
8904,Fort MacKay/Albian Aerodrome,Fort MacKay,Canada,JHL,CAL4,57.2238998413,-111.418998718,319,-06:00,MDT
8905,Monroe Reqional Airport,Charlotte,United States,EQY,N,35.01833,-80.62001,679,-5,A
8906,Station Aare,Aare,Sweden,,N,63.398779,13.075956,1240,1,E
8907,Villach Hauptbahnhof,Villach,Austria,,N,46.618333,13.848333,1644,1,E
